Ano Projeto,Codigo,Tipo de Ação,Titulo,Centro de Ensino,Unidade,Data Inicio,Data Fim,Situacao,Status_macro,Fonte Financiamento
2022,PJ164-2022,Projeto,MONITORAMENTO DA QUALIDADE DA ÁGUA DE POÇOS UTILIZADAS PELA POPULAÇÃO AREIENSE - ANO III,CCA - Centro de Ciências Agrárias,CCA - DEPARTAMENTO DE QUÍMICA E FÍSICA,2022-07-01,2022-12-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2025,PJ305-2025,Projeto,MONITORAMENTO DA QUALIDADE DA ÁGUA DE POÇOS UTILIZADAS PELA POPULAÇÃO AREIENSE - ANO VI,CCA - Centro de Ciências Agrárias,CCA - DEPARTAMENTO DE QUÍMICA E FÍSICA,2025-07-01,2025-12-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2023,PJ175-2023,Projeto,MONITORAMENTO DA QUALIDADE DA ÁGUA DE RESERVATÓRIOS DOMICILIARES E COLETIVOS NA CIDADE DE AREIA-PB,CCA - Centro de Ciências Agrárias,CCA - DEPARTAMENTO DE QUÍMICA E FÍSICA,2023-06-01,2023-12-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,PJ870-2024,Projeto,MONITORAMENTO DA QUALIDADE DA ÁGUA DE RESERVATÓRIOS DOMICILIARES E COLETIVOS NA CIDADE DE AREIA-PB,CCA - Centro de Ciências Agrárias,CCA - DEPARTAMENTO DE QUÍMICA E FÍSICA,2024-08-01,2025-10-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2025,PJ1810-2025,Projeto,MONITORAMENTO DA QUALIDADE DA ÁGUA DE RESERVATÓRIOS DOMICILIARES E COLETIVOS NA CIDADE DE AREIA-PB  ANO II,CCA - Centro de Ciências Agrárias,CCA - DEPARTAMENTO DE QUÍMICA E FÍSICA,2025-11-01,2026-10-31,EM EXECUÇÃO,Ativo,FINANCIAMENTO INTERNO
2022,PJ830-2022,Projeto,MONITORAMENTO DA QUALIDADE DA ÁGUA: UMA PRESTAÇÃO DE SERVIÇO À COMUNIDADE RURAL,"CCHSA - Centro de Ciências Humanas, Sociais e Agrárias",CCHSA - DIREÇÃO DE CENTRO,2022-08-01,2023-07-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2023,PJ843-2023,Projeto,MONITORAMENTO DA QUALIDADE DA ÁGUA: UMA PRESTAÇÃO DE SERVIÇO À COMUNIDADE RURAL,"CCHSA - Centro de Ciências Humanas, Sociais e Agrárias",CCHSA - DIREÇÃO DE CENTRO,2023-08-01,2024-07-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,PJ875-2024,Projeto,MONITORAMENTO DA QUALIDADE DA ÁGUA: UMA PRESTAÇÃO DE SERVIÇO À COMUNIDADE RURAL  ANO III,"CCHSA - Centro de Ciências Humanas, Sociais e Agrárias",CCHSA - DIREÇÃO DE CENTRO,2024-08-01,2025-10-31,PENDENTE DE RELATÓRIO,Concluído,FINANCIAMENTO INTERNO
2023,PJ103-2023,Projeto,MONITORAMENTO DA QUALIDADE DAS ÁGUAS DE POÇOS UTILIZADAS PELA POPULAÇÃO AREIENSE - ANO IV,CCA - Centro de Ciências Agrárias,CCA - DEPARTAMENTO DE QUÍMICA E FÍSICA,2023-06-01,2023-12-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,PJ343-2024,Projeto,MONITORAMENTO DA QUALIDADE DAS ÁGUAS DE POÇOS UTILIZADAS PELAPOPULAÇÃO AREIENSE - ANO V,CCA - Centro de Ciências Agrárias,CCA - DEPARTAMENTO DE QUÍMICA E FÍSICA,2024-06-01,2024-12-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2025,PJ1762-2025,Projeto,"Monitoramento da Rede de Bancos de Sementes Comunitários como ferramenta para conservação da agrobiodiversidade, preservação ambiental e  desenvolvimento sustentável (Ano IX) ",CT - Centro de Tecnologia,CT - DEPARTAMENTO DE ENGENHARIA DE PRODUÇÃO,2025-11-01,2026-10-31,EM EXECUÇÃO,Ativo,FINANCIAMENTO INTERNO
2024,PJ819-2024,Projeto,"Monitoramento da Rede de Bancos de Sementes Comunitários como ferramenta para conservação da agrobiodiversidade, preservação ambiental e desenvolvimento sustentável (Ano VIII)",CT - Centro de Tecnologia,CT - DEPARTAMENTO DE ENGENHARIA DE PRODUÇÃO,2024-08-01,2025-10-31,PENDENTE DE RELATÓRIO,Concluído,FINANCIAMENTO INTERNO
2022,PJ237-2022,Projeto,"Monitoramento da Rede de Bancos de Sementes Comunitários como ferramenta para conservação da biodiversidade, preservação ambiental e desenvolvimento sustentável",CT - Centro de Tecnologia,CT - DEPARTAMENTO DE ENGENHARIA DE PRODUÇÃO,2022-08-01,2023-07-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2023,PJ348-2023,Projeto,"Monitoramento da Rede de Bancos de Sementes Comunitários como ferramenta para conservação da biodiversidade, preservação ambiental e desenvolvimento sustentável",CT - Centro de Tecnologia,CT - DEPARTAMENTO DE ENGENHARIA DE PRODUÇÃO,2023-08-01,2024-07-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2021,PJ229-2021,Projeto,"Monitoramento da Rede de Bancos de Sementes Comunitários como ferramenta para conservação da biodiversisdade, preservação ambiental e desenvolvimento sustentável",CT - Centro de Tecnologia,CT - DEPARTAMENTO DE ENGENHARIA DE PRODUÇÃO,2021-05-03,2022-04-30,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2025,PJ36-2025,Projeto,Monitoramento das Ações de Extensão do Centro de Ciências da Saúde,CCS - Centro de Ciências da Saúde,CCS - DEPARTAMENTO DE FONOAUDIOLOGIA,2025-02-01,2025-12-31,PENDENTE DE RELATÓRIO,Concluído,FINANCIAMENTO INTERNO
2025,PJ146-2025,Projeto,Monitoramento das áreas de conflito do território das Comunidade Ribeirinhas da Praia da Penha,PRÓ-REITORIA DE EXTENSÃO  (PROEX),PRÓ-REITORIA DE EXTENSÃO  (PROEX),2025-05-12,2025-12-31,PENDENTE DE RELATÓRIO,Concluído,FINANCIAMENTO INTERNO
2023,PJ527-2023,Projeto,Monitoramento de Poluentes Atmosféricos como ferramenta para a conscientização e educação ambiental,PRÓ-REITORIA DE PÓS-GRADUAÇÃO (PRPG),PRÓ-REITORIA DE PÓS-GRADUAÇÃO (PRPG),2023-08-01,2024-07-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,PJ1031-2024,Projeto,Monitoramento de Poluentes Atmosféricos como ferramenta para a conscientização e educação ambiental,PRPG - COORDENAÇÃO GERAL DE ACOMPANHAMENTO E AVALIAÇÃO DOS PROGRAMAS E CURSOS DE PÓS-GRADUAÇÃO STRICTO E LATO SENSU,PRPG - COORDENAÇÃO GERAL DE ACOMPANHAMENTO E AVALIAÇÃO DOS PROGRAMAS E CURSOS DE PÓS-GRADUAÇÃO STRICTO E LATO SENSU,2024-08-01,2025-10-31,PENDENTE DE RELATÓRIO,Concluído,FINANCIAMENTO INTERNO
2020,PJ372-2020,Projeto,Monitoramento e assessoria jurídica em medidas administrativas e judiciais de controle de danos ambientais no litoral paraibano (EXDIMA),CCJ - Centro de Ciências Jurídicas,CCJ - DEPARTAMENTO DE DIREITO PÚBLICO,2020-04-01,2020-12-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2021,PJ368-2021,Projeto,Monitoramento e assessoria jurídica em medidas administrativas e judiciais de controle de danos ambientais no litoral paraibano (EXDIMA),CCJ - Centro de Ciências Jurídicas,CCJ - DEPARTAMENTO DE DIREITO PÚBLICO,2021-05-03,2022-04-30,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2022,PJ831-2022,Projeto,Monitoramento e assessoria jurídica em medidas administrativas e judiciais de controle de danos ambientais no litoral paraibano (EXDIMA),CCJ - Centro de Ciências Jurídicas,CCJ - DEPARTAMENTO DE DIREITO PÚBLICO,2022-08-01,2023-07-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2023,PJ745-2023,Projeto,Monitoramento e assessoria jurídica em medidas administrativas e judiciais de controle de danos ambientais no litoral paraibano (EXDIMA),CCJ - Centro de Ciências Jurídicas,CCJ - DEPARTAMENTO DE DIREITO PÚBLICO,2023-08-01,2024-07-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,PJ1085-2024,Projeto,Monitoramento e assessoria jurídica em medidas administrativas e judiciais de controle de danos ambientais no litoral paraibano (EXDIMA),CCJ - Centro de Ciências Jurídicas,CCJ - DEPARTAMENTO DE DIREITO PÚBLICO,2024-08-01,2025-10-31,PENDENTE DE RELATÓRIO,Concluído,FINANCIAMENTO INTERNO
2025,PJ1427-2025,Projeto,Monitoramento e assessoria jurídica em medidas administrativas e judiciais de controle de danos ambientais no litoral paraibano (EXDIMA),CCJ - Centro de Ciências Jurídicas,CCJ - DEPARTAMENTO DE DIREITO PÚBLICO,2025-11-01,2026-10-31,EM EXECUÇÃO,Ativo,FINANCIAMENTO INTERNO
2020,PJ943-2020,Projeto,Monitoramento e Avaliação de Indicadores Socioeconômicos Usando Inteligência Artificial ,CCSA - Centro de Ciências Sociais Aplicadas,CCSA - DEPARTAMENTO DE ECONOMIA,2020-08-13,2020-12-31,PROJETO CANCELADO,Cancelado/Reprovado,FINANCIAMENTO INTERNO
2020,PJ848-2020,Projeto,MONITORAMENTO E CONTROLE DE MOSCAS-DAS-FRUTAS EM POMARES RURAIS VOLTADOS A AGRICULTURA FAMILIAR,CCA - Centro de Ciências Agrárias,CCA - DEPARTAMENTO DE BIOCIÊNCIAS,2020-06-01,2020-12-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2023,PJ617-2023,Projeto,MONITORAMENTO ESPACIAL E SOCIAL DO TRABALHO NO ESTADO DA PARAÍBA: UM DIAGNÓSTICO DA AGROPECUÁRIA NO MUNICÍPIO DE CASSERENGUE-PB,"CCHSA - Centro de Ciências Humanas, Sociais e Agrárias",CCHSA - DEPARTAMENTO DE CIÊNCIAS SOCIAIS APLICADAS,2023-08-01,2024-07-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2021,PJ196-2021,Projeto,"MONITORAMENTO ESPACIAL E SOCIAL DO TRABALHO: TRANSFORMAÇÕES, DINÂMICA E PERSPECTIVAS DO MERCADO DE TRABALHO E EMPREGO NO MUNICÍPIO DE ARAÇAGI","CCHSA - Centro de Ciências Humanas, Sociais e Agrárias",CCHSA - DEPARTAMENTO DE CIÊNCIAS SOCIAIS APLICADAS,2021-05-03,2022-04-30,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2020,PJ457-2020,Projeto,MONITORAMENTO ESPACIAL E SOCIAL DO TRABALHO: transformações no mercado de trabalho na microrregião do Brejo Paraibano,"CCHSA - Centro de Ciências Humanas, Sociais e Agrárias",CCHSA - DEPARTAMENTO DE CIÊNCIAS SOCIAIS APLICADAS,2020-04-01,2020-12-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2022,PJ284-2022,Projeto,MONITORAMENTO ESPACIAL E SOCIAL DO TRABALHO: UM DIAGNÓSTICO DA AGROPECUÁRIA NO MUNICÍPIO DE ARAÇAGI-PB,"CCHSA - Centro de Ciências Humanas, Sociais e Agrárias",CCHSA - DEPARTAMENTO DE CIÊNCIAS SOCIAIS APLICADAS,2022-08-01,2023-07-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2021,CR51-2021,Curso,MONITORANDO A QUALIDADE DO LEITE A SERVIÇO DA COMUNIDADE,"CCHSA - Centro de Ciências Humanas, Sociais e Agrárias",CCHSA - DIREÇÃO DE CENTRO,2021-05-17,2021-07-17,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2025,CR253-2025,Curso,"Monólogos com plantas, animais e outras não humanos ",CCTA - Centro de Comunicação e Artes,CCTA - DEPARTAMENTO DE ARTES CÊNICAS,2025-11-01,2025-12-16,PENDENTE DE RELATÓRIO,Concluído,FINANCIAMENTO INTERNO
2024,EV106-2024,Evento,Montagem de Dashboards no Power BI,CCSA - Centro de Ciências Sociais Aplicadas,CCSA - DEPARTAMENTO DE ECONOMIA,2024-10-10,2024-10-11,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,PJ1698-2024,Projeto,MONTAGEM DE TEXTOS TEATRAIS,CCA - Centro de Ciências Agrárias,CCA - DEPARTAMENTO DE CIÊNCIAS FUNDAMENTAIS E SOCIAIS,2024-11-26,2025-12-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2021,PJ665-2021,Projeto,MORFAC CLUB -  CLUBE DE MORFOFISIOLOGIA APLICADA,CCS - Centro de Ciências da Saúde,CCS - DEPARTAMENTO DE MORFOLOGIA,2021-05-05,2022-04-30,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2022,EV72-2022,Evento,Mostra Artes em Cena nas Escolas - Semana das Crianças,CCTA - Centro de Comunicação e Artes,CCTA - DEPARTAMENTO DE ARTES CÊNICAS,2022-10-10,2022-10-11,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2021,EV30-2021,Evento,MOSTRA CE,CE - Centro de Educação,CE - DEPARTAMENTO DE METODOLOGIA DA EDUCAÇÃO,2021-08-19,2021-08-20,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
